啊吆佛,a'yao'fo
垆子壶,lu'zi'hu
炉子壶,lu'zi'hu
罗锅,luo'guo
马批,ma'pi
埋汰,mai'tai
没许过,mei'xu'guo
闷瓜,men'gua
门堑子,men'qian'zi
棉条虎子,mian'tiao'hu'zi
仫点料,mu'dian'liao
仫结,mu'jie
仫结有,mu'jie'you
木乱,mu'luan
炑乱,mu'luan
目乱,mu'luan
仫听见,mu'ting'jian
能么,neng'me
婆婆丁,po'po'ding
汔凉汔凉,qi'liang'qi'liang
骑轻骑,qi'qing'qi
乔使得慌,qiao'shi'de'huang
乔疼,qiao'teng
勤利,qin'li
亲亲,qin'qin
曲蝉,qu'chan
瘸吧,que'ba
惹吱,re'zhi
撒么,sa'me
臊虎,sao'hu
山石油,shan'shi'you
上栏,shang'lan
晌午,shang'wu
烧荨子,shao'qian'zi
生鏣,sheng'shu
生戍,sheng'shu
秫秸,shu'jie
漱啦,shu'la
漱啦漱啦,shu'la'shu'la
熥子,teng'zi
踢蹬,ti'deng
天星子,tian'xing'zi
挺托,ting'tuo
筒锅,tong'guo
赨壳郎,tong'ke'lang
头晌午,tou'shang'wu
忳得,tun'de
杌撑子,wu'cheng'zi
屋当门,wu'dang'men
舞弄,wu'nong
唔哝,wu'nong
武弄,wu'nong
杌子,wu'zi
喜人,xi'ren
瞎包,xia'bao
瞎话溜门,xia'hua'liu'men
瞎斯,xia'si
小死,xiao'si
蝎虎子,xie'hu'zi
行了啵,xing'le'bo
星石榴,xing'shi'liu
秀媚,xiu'mei
秀密,xiu'mi
瞲么,xu'me
暄活,xuan'huo
牙狗,ya'gou
鸦片户子,ya'pian'hu'zi
檐蝙虎子,yan'bian'hu'zi
焉苃,yan'you
眼眨毛,yan'zha'mao
秧地瓜,yang'di'gua
仰个牙,yang'ge'ya
仰个子牙,yang'ge'zi'ya
洋柿子,yang'shi'zi
秧芋头,yang'yu'tou
夜拉盖,ye'la'gai
夜来,ye'lai
夜来后晌,ye'lai'hou'shang
蚁蛘,yi'yang
萦人,ying'ren
营生,ying'sheng
蚴子,you'zi
郁么,yu'me
圆溜,yuan'liu
圆囿,yuan'you
圆油,yuan'you
咋招,za'zhao
早寝起来,zao'qin'qi'lai
澡洗,zao'xi
扎裹,zha'guo
咋呼,zha'hu
怍么怍么,zha'me'zha'me
涨包,zhang'bao
折蹬,zhe'deng
这户滴,zhe'hu'di
这么等,zhe'me'deng
这一么子,zhe'yi'me'zi
真格的,zhen'ge'de
正格的,zheng'ge'de
吱呦,zhi'you
缀鞋,zhui'xie
走跶走跶,zou'da'zou'da
揍饭,zou'fan
做蹬,zuo'deng
怍么,zuo'me
