阿尔塞斯,a'er'sai'si
变体精灵,bian'ti'jing'ling
变相移动,bian'xiang'yi'dong
变形,bian'xing
变形术,bian'xing'shu
变熊,bian'xiong
变羊,bian'yang
变异两栖人,bian'yi'liang'qi'ren
变远程,bian'yuan'cheng
标枪,biao'qiang
冰冻喷吐,bing'dong'pen'tu
冰冻之箭,bing'dong'zhi'jian
冰封,bing'feng
冰封禁制,bing'feng'jin'zhi
冰封路径,bing'feng'lu'jing
冰封王座,bing'feng'wang'zuo
冰火交加,bing'huo'jiao'jia
冰火两重天,bing'huo'liang'chong'tian
冰甲,bing'jia
冰箭,bing'jian
并列,bing'lie
冰龙,bing'long
冰魔高级牧师,bing'mo'gao'ji'mu'shi
冰魔狂战士,bing'mo'kuang'zhan'shi
冰魔猎手,bing'mo'lie'shou
冰魔首领,bing'mo'shou'ling
冰魔影子牧师,bing'mo'ying'zi'mu'shi
冰女,bing'nv
冰霜巨龙,bing'shuang'ju'long
冰塔,bing'ta
冰牙猛犸,bing'ya'meng'ma
冰眼,bing'yan
兵营,bing'ying
冰之巨魔,bing'zhi'ju'mo
波浪,bo'lang
波浪形态,bo'lang'xing'tai
不败,bu'bai
步兵,bu'bing
补刀,bu'dao
不叠加,bu'die'jia
补盾,bu'dun
不给分,bu'gei'fen
不可侵犯,bu'ke'qin'fan
补魔,bu'mo
不死族,bu'si'zu
不死族老农,bu'si'zu'lao'nong
不稳定化合物,bu'wen'ding'hua'he'wu
不朽,bu'xiu
不朽盾,bu'xiu'dun
不朽尸王,bu'xiu'shi'wang
不朽之守护,bu'xiu'zhi'shou'hu
补血,bu'xue
补眼,bu'yan
残废,can'fei
操纵死尸,cao'zong'si'shi
操纵死尸卷轴,cao'zong'si'shi'juan'zhou
查克拉魔法,cha'ke'la'mo'fa
叉形闪电,cha'xing'shan'dian
插眼,cha'yan
叉状闪电,cha'zhuang'shan'dian
缠绕,chan'rao
缠绕金矿,chan'rao'jin'kuang
长钉衣领,chang'ding'yi'ling
唱歌,chang'ge
长管火枪,chang'guan'huo'qiang
长矛,chang'mao
长矛手,chang'mao'shou
长袍,chang'pao
嘲讽,chao'feng
超负荷,chao'fu'he
超强力量,chao'qiang'li'liang
超声冲击波,chao'sheng'chong'ji'bo
潮汐,chao'xi
潮汐猎人,chao'xi'lie'ren
车间,che'jian
车子,che'zi
沉默,chen'mo
沉默光环,chen'mo'guang'huan
沉默魔法,chen'mo'mo'fa
沉默权杖,chen'mo'quan'zhang
沉默术士,chen'mo'shu'shi
沉默杖,chen'mo'zhang
尘土之影,chen'tu'zhi'ying
晨之酒馆,chen'zhi'jiu'guan
城堡,cheng'bao
城甲,cheng'jia
城镇大厅,cheng'zhen'da'ting
吃兵,chi'bing
赤龙,chi'long
吃尸,chi'shi
吃树,chi'shu
吃小兵,chi'xiao'bing
冲啊,chong'a
冲刺,chong'ci
冲击波,chong'ji'bo
重生,chong'sheng
冲他,chong'ta
重修之书,chong'xiu'zhi'shu
初夜男,chu'ye'nan
穿刺,chuan'ci
穿刺攻击,chuan'ci'gong'ji
穿刺剑刃,chuan'ci'jian'ren
传送,chuan'song
传送门,chuan'song'men
传送权杖,chuan'song'quan'zhang
穿他,chuan'ta
吹风,chui'feng
吹风流,chui'feng'liu
吹风杖,chui'feng'zhang
锤子,chui'zi
纯暴流,chun'bao'liu
纯狗流,chun'gou'liu
刺客,ci'ke
刺针扫射,ci'zhen'sao'she
丛林守护者,cong'lin'shou'hu'zhe
大标,da'biao
大波,da'bo
打不动,da'bu'dong
大电锤,da'dian'chui
大盾,da'dun
大斧,da'fu
大复活神符,da'fu'huo'shen'fu
大根,da'gen
达贡,da'gong
达贡之神力,da'gong'zhi'shen'li
大沟,da'gou
打怪,da'guai
大回复卷轴,da'hui'fu'juan'zhou
大恢复药水,da'hui'fu'yao'shui
大灰狼,da'hui'lang
大剑,da'jian
大雷,da'lei
大魔法神符,da'mo'fa'shen'fu
大魔法师,da'mo'fa'shi
大魔法药水,da'mo'fa'yao'shui
大娜迦,da'na'jia
大炮,da'pao
大屁股,da'pi'gu
大屁股猪,da'pi'gu'zhu
大生命药水,da'sheng'ming'yao'shui
大师级利爪徳鲁依训练,da'shi'ji'li'zhua'de'lu'yi'xun'lian
大师级灵魂行者训练,da'shi'ji'ling'hun'xing'zhe'xun'lian
大师级猛禽徳鲁依训练,da'shi'ji'meng'qin'de'lu'yi'xun'lian
大师级牧师训练,da'shi'ji'mu'shi'xun'lian
大师级女巫训练,da'shi'ji'nv'wu'xun'lian
大师级女妖训练,da'shi'ji'nv'yao'xun'lian
大师级萨满训练,da'shi'ji'sa'man'xun'lian
大师级亡灵巫师训练,da'shi'ji'wang'ling'wu'shi'xun'lian
大师级巫医训练,da'shi'ji'wu'yi'xun'lian
大树,da'shu
打塔,da'ta
大厅,da'ting
大心,da'xin
打野,da'ye
搭载弓箭手,da'zai'gong'jian'shou
大招,da'zhao
大震,da'zhen
大治疗神符,da'zhi'liao'shen'fu
大自然的掩护,da'zi'ran'de'yan'hu
带刺外壳,dai'ci'wai'ke
带走,dai'zou
弹幕攻击,dan'mu'gong'ji
导弹,dao'dan
导弹轰炸,dao'dan'hong'zha
盗法,dao'fa
到六,dao'liu
刀阵旋风,dao'zhen'xuan'feng
德鲁伊,de'lu'yi
地卜师,di'bu'shi
地洞,di'dong
敌法,di'fa
敌法师,di'fa'shi
地精船厂,di'jing'chuan'chang
地精的贪婪,di'jing'de'tan'lan
地精飞艇,di'jing'fei'ting
地精工兵,di'jing'gong'bing
地精炼金术士,di'jing'lian'jin'shu'shi
地精商店,di'jing'shang'dian
地精实验室,di'jing'shi'yan'shi
地精撕裂者,di'jing'si'lie'zhe
地精修补匠,di'jing'xiu'bu'jiang
地雷,di'lei
低维修费用,di'wei'xiu'fei'yong
地穴,di'xue
地穴编织者,di'xue'bian'zhi'zhe
地穴刺客,di'xue'ci'ke
地穴狗头人,di'xue'gou'tou'ren
地穴领主,di'xue'ling'zhu
地狱火,di'yu'huo
地狱火球,di'yu'huo'qiu
地狱火之石,di'yu'huo'zhi'shi
地狱领主,di'yu'ling'zhu
地震,di'zhen
电锤,dian'chui
点灯,dian'deng
电魂,dian'hun
点火,dian'huo
点金,dian'jin
点金手,dian'jin'shou
电链,dian'lian
电王,dian'wang
电子咆哮,dian'zi'pao'xiao
电子屏障,dian'zi'ping'zhang
凋零,diao'ling
叠加,die'jia
丢锤,diu'chui
丢个锤,diu'ge'chui
动力鞋,dong'li'xie
冻上,dong'shang
动物信使,dong'wu'xin'shi
动物作战训练,dong'wu'zuo'zhan'xun'lian
都来,dou'lai
都来上,dou'lai'shang
都来下,dou'lai'xia
都来中,dou'lai'zhong
斗篷,dou'peng
毒标,du'biao
毒龙,du'long
毒蛇守卫,du'she'shou'wei
毒雾,du'wu
毒性攻击,du'xing'gong'ji
毒性树人,du'xing'shu'ren
毒液之球,du'ye'zhi'qiu
毒液蜘蛛,du'ye'zhi'zhu
短棍,duan'gun
对尸体有效,dui'shi'ti'you'xiao
盾击,dun'ji
多重,duo'chong
多重攻击,duo'chong'gong'ji
多重施法,duo'chong'shi'fa
躲了,duo'le
堕落牧师,duo'luo'mu'shi
堕落树人,duo'luo'shu'ren
多洛特,duo'luo'te
恶魔刀,e'mo'dao
恶魔刀锋,e'mo'dao'feng
恶魔雕像,e'mo'diao'xiang
恶魔猎手,e'mo'lie'shou
恶魔巫师,e'mo'wu'shi
法力丢失,fa'li'diu'shi
法力流失,fa'li'liu'shi
法力燃烧,fa'li'ran'shao
法力损毁,fa'li'sun'hui
法力虚空,fa'li'xu'kong
伐木场,fa'mu'chang
伐木机,fa'mu'ji
法球,fa'qiu
法球效果,fa'qiu'xiao'guo
法球效果不能叠加,fa'qiu'xiao'guo'bu'neng'die'jia
法师长袍,fa'shi'chang'pao
法术护盾,fa'shu'hu'dun
发芽,fa'ya
法杖,fa'zhang
反补,fan'bu
返回工作,fan'hui'gong'zuo
反击,fan'ji
返老还童,fan'lao'huan'tong
反了,fan'le
反魔法盾,fan'mo'fa'dun
反弹甲,fan'tan'jia
范围沉默,fan'wei'chen'mo
放刺,fang'ci
放大,fang'da
放沟,fang'gou
防守流,fang'shou'liu
放雾,fang'wu
放吸,fang'xi
放眼,fang'yan
防御,fang'yu
防御塔,fang'yu'ta
放逐,fang'zhu
飞标,fei'biao
飞镖,fei'biao
飞斧,fei'fu
飞龙,fei'long
飞鞋,fei'xie
飞行信使,fei'xing'xin'shi
沸血之矛,fei'xue'zhi'mao
坟场,fen'chang
分离弓箭手和角鹰兽,fen'li'gong'jian'shou'he'jiao'ying'shou
分裂攻击,fen'lie'gong'ji
分裂箭,fen'lie'jian
分身,fen'shen
分身斧,fen'shen'fu
粉碎,fen'sui
粉碎伤害,fen'sui'shang'hai
粉碎者,fen'sui'zhe
风暴锤,feng'bao'chui
风暴祭坛,feng'bao'ji'tan
风暴巨龙,feng'bao'ju'long
风暴狮角,feng'bao'shi'jiao
风暴乌鸦,feng'bao'wu'ya
风暴战锤,feng'bao'zhan'chui
风暴召唤,feng'bao'zhao'huan
风暴之锤,feng'bao'zhi'chui
风德,feng'de
凤凰,feng'huang
疯狂,feng'kuang
疯狂面具,feng'kuang'mian'ju
疯狂生长,feng'kuang'sheng'zhang
风猫,feng'mao
风骑士,feng'qi'shi
风熊猫,feng'xiong'mao
否定权杖,fou'ding'quan'zhang
复仇,fu'chou
复仇电魂,fu'chou'dian'hun
腐臭蜂群,fu'chou'feng'qun
复仇天神,fu'chou'tian'shen
复仇之魂,fu'chou'zhi'hun
复活,fu'huo
复活卷轴,fu'huo'juan'zhou
复活十字架,fu'huo'shi'zi'jia
复活死尸,fu'huo'si'shi
蝮蛇突袭,fu'she'tu'xi
腐尸甲虫,fu'shi'jia'chong
腐蚀喷吐,fu'shi'pen'tu
腐蚀外表,fu'shi'wai'biao
腐蚀之球,fu'shi'zhi'qiu
斧王,fu'wang
复制,fu'zhi
符咒,fu'zhou
斧子,fu'zi
感染,gan'ran
刚背,gang'bei
刚背兽,gang'bei'shou
刚毛后背,gang'mao'hou'bei
岗哨神符,gang'shao'shen'fu
岗哨守卫,gang'shao'shou'wei
刚毅不屈,gang'yi'bu'qu
高射炮,gao'she'pao
高维修费用,gao'wei'xiu'fei'yong
哥布林工程师,ge'bu'lin'gong'cheng'shi
跟上,gen'shang
跟他,gen'ta
攻城,gong'cheng
攻城攻击,gong'cheng'gong'ji
攻城傀儡,gong'cheng'kui'lei
工程学升级,gong'cheng'xue'sheng'ji
攻击,gong'ji
攻击速度,gong'ji'su'du
攻击之爪,gong'ji'zhi'zhao
弓箭手,gong'jian'shou
沟壑,gou'he
狗头,gou'tou
狗头人,gou'tou'ren
狗头人首领,gou'tou'ren'shou'ling
狗头人占卜者,gou'tou'ren'zhan'bu'zhe
钩子,gou'zi
古尔丹,gu'er'dan
骨法,gu'fa
骨弓,gu'gong
雇佣兵营地,gu'yong'bing'ying'di
古之忍耐姜歌,gu'zhi'ren'nai'jiang'ge
骨质增强术,gu'zhi'zeng'qiang'shu
挂件,gua'jian
光法,guang'fa
光之酒馆,guang'zhi'jiu'guan
光之守卫,guang'zhi'shou'wei
贵族圆环,gui'zu'yuan'huan
国王祭坛,guo'wang'ji'tan
寒冰碎片,han'bing'sui'pian
撼地神牛,han'di'shen'niu
嚎叫,hao'jiao
豪猪,hao'zhu
豪猪猎手,hao'zhu'lie'shou
合二为一,he'er'wei'yi
黑暗巨魔,hei'an'ju'mo
黑暗时间,hei'an'shi'jian
黑暗巫师,hei'an'wu'shi
黑暗贤者,hei'an'xian'zhe
黑暗仪式,hei'an'yi'shi
黑暗游侠,hei'an'you'xia
黑暗之箭,hei'an'zhi'jian
黑暗之奴,hei'an'zhi'nu
黑暗之球,hei'an'zhi'qiu
黑洞,hei'dong
黑皇,hei'huang
黑皇杖,hei'huang'zhang
黑魔高级牧师,hei'mo'gao'ji'mu'shi
黑魔狂战士,hei'mo'kuang'zhan'shi
黑魔猎手,hei'mo'lie'shou
黑魔首领,hei'mo'shou'ling
黑魔影子牧师,hei'mo'ying'zi'mu'shi
黑鸟,hei'niao
黑耀,hei'yao
黑曜毁灭者,hei'yao'hui'mie'zhe
红龙,hong'long
红龙之卵,hong'long'zhi'luan
轰他,hong'ta
红杖,hong'zhang
吼啊,hou'a
后背,hou'bei
吼叫,hou'jiao
猴王杖,hou'wang'zhang
吼一下,hou'yi'xia
吼一下子,hou'yi'xia'zi
蝴蝶,hu'die
护盾神符,hu'dun'shen'fu
护身符,hu'shen'fu
护腕,hu'wan
弧形闪电,hu'xing'shan'dian
花岗岩傀儡,hua'gang'yan'kui'lei
化学狂暴,hua'xue'kuang'bao
幻刺,huan'ci
换过来,huan'guo'lai
幻化,huan'hua
幻化之锋,huan'hua'zhi'feng
幻火,huan'huo
换人,huan'ren
换属性,huan'shu'xing
换他啊,huan'ta'a
换位女,huan'wei'nv
幻象,huan'xiang
幻象法球,huan'xiang'fa'qiu
换血,huan'xie
欢欣,huan'xin
欢欣刀,huan'xin'dao
欢欣之刃,huan'xin'zhi'ren
幻影,huan'ying
幻影长矛手,huan'ying'chang'mao'shou
幻影刺客,huan'ying'ci'ke
幻影斧,huan'ying'fu
幻影神符,huan'ying'shen'fu
蝗虫群,huang'chong'qun
黄点,huang'dian
黄昏酒馆,huang'hun'jiu'guan
回城,hui'cheng
回城卷,hui'cheng'juan
回城卷轴,hui'cheng'juan'zhou
回到过去,hui'dao'guo'qu
回二,hui'er
回防,hui'fang
回复,hui'fu
回复戒指,hui'fu'jie'zhi
回复卷轴,hui'fu'juan'zhou
恢复卷轴,hui'fu'juan'zhou
回复神符,hui'fu'shen'fu
回复头巾,hui'fu'tou'jin
恢复药水,hui'fu'yao'shui
辉煌,hui'huang
辉煌光环,hui'huang'guang'huan
回家,hui'jia
毁灭守卫,hui'mie'shou'wei
毁灭之角,hui'mie'zhi'jiao
毁灭之球,hui'mie'zhi'qiu
毁灭蜘蛛流,hui'mie'zhi'zhu'liu
回去,hui'qu
回收,hui'shou
回四,hui'si
回五,hui'wu
辉耀,hui'yao
回音击,hui'yin'ji
混沌,hun'dun
混沌骑士,hun'dun'qi'shi
混乱,hun'luan
混乱攻击,hun'luan'gong'ji
混乱之治,hun'luan'zhi'zhi
魂手,hun'shou
火箭,huo'jian
活力之球,huo'li'zhi'qiu
火女,huo'nv
火炮,huo'pao
火枪,huo'qiang
火枪流,huo'qiang'liu
火枪手,huo'qiang'shou
火山,huo'shan
活体护甲,huo'ti'hu'jia
火土风暴,huo'tu'feng'bao
火熊猫,huo'xiong'mao
活血术,huo'xue'shu
火焰爆轰,huo'yan'bao'hong
火焰弓箭手,huo'yan'gong'jian'shou
火焰呼吸,huo'yan'hu'xi
火焰领主,huo'yan'ling'zhu
火焰披风,huo'yan'pi'feng
火焰气息,huo'yan'qi'xi
火焰雨,huo'yan'yu
火焰之球,huo'yan'zhi'qiu
吉安娜,ji'an'na
几八脸,ji'ba'lian
疾病云雾,ji'bing'yun'wu
系带,ji'dai
基尔加丹,ji'er'jia'dan
疾风步,ji'feng'bu
激光,ji'guang
极寒领域,ji'han'ling'yu
集合,ji'he
激怒,ji'nu
祭品,ji'pin
机器人,ji'qi'ren
机器人的进军,ji'qi'ren'de'jin'jun
机器人进军,ji'qi'ren'jin'jun
极限,ji'xian
极限法球,ji'xian'fa'qiu
机械地精,ji'xie'de'jing
加号,jia'hao
加甲,jia'jia
加力,jia'li
假面,jia'mian
加敏,jia'min
加魔,jia'mo
加强伤害,jia'qiang'shang'hai
假身,jia'shen
加速,jia'su
加速神符,jia'su'shen'fu
加速手套,jia'su'shou'tao
枷锁,jia'suo
假腿,jia'tui
加血,jia'xue
假眼,jia'yan
加状态,jia'zhuang'tai
尖刺外壳,jian'ci'wai'ke
尖叫,jian'jiao
健康之石,jian'kang'zhi'shi
尖毛兽酋长,jian'mao'shou'qiu'zhang
尖毛兽野蛮人,jian'mao'shou'ye'man'ren
尖毛兽医生,jian'mao'shou'yi'sheng
尖毛兽侦察兵,jian'mao'shou'zhen'cha'bing
坚韧,jian'ren
剑刃风暴,jian'ren'feng'bao
坚韧光环,jian'ren'guang'huan
坚韧球,jian'ren'qiu
溅射,jian'she
剑圣,jian'sheng
减速,jian'su
减速光环,jian'su'guang'huan
减速效果无视魔法免疫,jian'su'xiao'guo'wu'shi'mo'fa'mian'yi
剑心补丁,jian'xin'bu'ding
绞肉车,jiao'rou'che
绞肉机,jiao'rou'ji
焦土,jiao'tu
角鹰,jiao'ying
角鹰兽,jiao'ying'shou
角鹰兽骑士,jiao'ying'shou'qi'shi
戒指,jie'zhi
浸毒标枪,jin'du'biao'qiang
金箍棒,jin'gu'bang
静电场,jing'dian'chang
净化,jing'hua
净化刀,jing'hua'dao
净化药水,jing'hua'yao'shui
荆棘光环,jing'ji'guang'huan
精灵,jing'ling
精灵老农,jing'ling'lao'nong
精灵龙,jing'ling'long
精灵皮靴,jing'ling'pi'xue
精灵之火,jing'ling'zhi'huo
静默诅咒,jing'mo'zu'zhou
精气之球,jing'qi'zhi'qiu
惊吓,jing'xia
镜像,jing'xiang
经验槽,jing'yan'cao
经验之书,jing'yan'zhi'shu
纠缠根须,jiu'chan'gen'xu
酒馆,jiu'guan
剧毒,ju'du
剧毒术士,ju'du'shu'shi
飓风,ju'feng
狙击,ju'ji
巨狼,ju'lang
巨力挥舞,ju'li'hui'wu
巨魔,ju'mo
巨魔蝙蝠骑士,ju'mo'bian'fu'qi'shi
巨魔狂暴战士,ju'mo'kuang'bao'zhan'shi
巨魔猎头者,ju'mo'lie'tou'zhe
巨魔巫医,ju'mo'wu'yi
巨魔再生,ju'mo'zai'sheng
巨魔战将,ju'mo'zhan'jiang
巨人力量腰带,ju'ren'li'liang'yao'dai
巨型蜘蛛,ju'xing'zhi'zhu
巨熊,ju'xiong
巨熊形态,ju'xiong'xing'tai
卡德医疗宝石,ka'de'yi'liao'bao'shi
卡尔,ka'er
卡尔萨斯,ka'er'sa'si
卡嘉长萧,ka'jia'chang'xiao
卡利姆多,ka'li'mu'duo
开不败,kai'bu'bai
开盾,kai'dun
开攻速,kai'gong'su
抗体药水,kang'ti'yao'shui
抗性皮肤,kang'xing'pi'fu
科多兽,ke'duo'shou
科勒恩的逃脱匕首,ke'le'en'de'tao'tuo'bi'shou
恐怖,kong'bu
恐怖嚎叫,kong'bu'hao'jiao
恐怖猛犸,kong'bu'meng'ma
恐怖之狼,kong'bu'zhi'lang
恐惧魔王,kong'ju'mo'wang
恐惧之狼,kong'ju'zhi'lang
空明杖,kong'ming'zhang
控魔,kong'mo
空瓶,kong'ping
控线,kong'xian
空中枷锁,kong'zhong'jia'suo
口袋工厂,kou'dai'gong'chang
苦工,ku'gong
骷髅,ku'lou
骷髅弓,ku'lou'gong
骷髅海,ku'lou'hai
骷髅射手,ku'lou'she'shou
骷髅王,ku'lou'wang
骷髅掌控,ku'lou'zhang'kong
枯萎精髓,ku'wei'jing'sui
狂暴,kuang'bao
狂暴洗劫者,kuang'bao'xi'jie'zhe
狂暴野兽,kuang'bao'ye'shou
狂猛,kuang'meng
狂热,kuang're
狂热光环,kuang're'guang'huan
狂性枭兽,kuang'xing'xiao'shou
狂战,kuang'zhan
狂战斧,kuang'zhan'fu
狂战士之怒,kuang'zhan'shi'zhi'nu
狂战士之血,kuang'zhan'shi'zhi'xue
奎尔萨拉斯之靴,kui'er'sa'la'si'zhi'xue
奎尔瑟兰的密室,kui'er'se'lan'de'mi'shi
傀儡战士,kui'lei'zhan'shi
捆人,kun'ren
捆他,kun'ta
捆住,kun'zhu
阔剑,kuo'jian
拉怪,la'guai
拉野,la'ye
来一记,lai'yi'ji
蓝标,lan'biao
蓝龙,lan'long
蓝猫,lan'mao
蓝胖,lan'pang
蓝胖子,lan'pang'zi
蓝药,lan'yao
蓝杖,lan'zhang
狼骑,lang'qi
狼骑士,lang'qi'shi
狼人,lang'ren
老九,lao'jiu
老鹿,lao'lu
老牛,lao'niu
老树精,lao'shu'jing
了望塔,le'wang'ta
雷锤,lei'chui
雷电牵引,lei'dian'qian'yin
雷击,lei'ji
雷神,lei'shen
雷神之锤,lei'shen'zhi'chui
雷神之怒,lei'shen'zhi'nu
雷霆蜥蜴,lei'ting'xi'yi
雷霆一击,lei'ting'yi'ji
力量,li'liang
力量手套,li'liang'shou'tao
力量型,li'liang'xing
力量腰带,li'liang'yao'dai
黎明酒馆,li'ming'jiu'guan
利爪德鲁伊,li'zhua'de'lu'yi
利爪之痕,li'zhua'zhi'hen
连环闪电,lian'huan'shan'dian
连击,lian'ji
炼金,lian'jin
炼金术士,lian'jin'shu'shi
连拍,lian'pai
两栖苦难者,liang'qi'ku'nan'zhe
两栖人猎手,liang'qi'ren'lie'shou
两栖食肉者,liang'qi'shi'rou'zhe
两栖夜行者,liang'qi'ye'xing'zhe
两栖追随者,liang'qi'zhui'sui'zhe
两栖追踪者,liang'qi'zhui'zong'zhe
裂魂人,lie'hun'ren
猎手大厅,lie'shou'da'ting
猎头流,lie'tou'liu
烈焰风暴,lie'yan'feng'bao
林肯,lin'ken
林肯法球,lin'ken'fa'qiu
林肯球,lin'ken'qiu
灵动之翼,ling'dong'zhi'yi
灵魂,ling'hun
灵魂归宿,ling'hun'gui'su
灵魂燃烧,ling'hun'ran'shao
灵魂守卫,ling'hun'shou'wei
灵魂锁链,ling'hun'suo'lian
灵魂行者,ling'hun'xing'zhe
灵魂之触,ling'hun'zhi'chu
灵魂之矛,ling'hun'zhi'mao
灵魂之猪,ling'hun'zhi'zhu
灵能陷阱,ling'neng'xian'jing
灵能之刃,ling'neng'zhi'ren
灵巧头巾,ling'qiao'tou'jin
领主,ling'zhu
流浪,liu'lang
流浪法师斗篷,liu'lang'fa'shi'dou'peng
流浪剑客,liu'lang'jian'ke
流氓,liu'mang
流氓巫师,liu'mang'wu'shi
流星雨,liu'xing'yu
龙巢,long'chao
龙卷风,long'juan'feng
龙卵盗贼,long'luan'dao'zei
龙卵领主,long'luan'ling'zhu
龙卵学徒,long'luan'xue'tu
龙卵战士,long'luan'zhan'shi
龙骑,long'qi
龙骑士,long'qi'shi
龙心,long'xin
龙鹰,long'ying
龙之男巫,long'zhi'nan'wu
龙族血统,long'zu'xue'tong
路径,lu'jing
掠夺,lue'duo
掠夺者,lue'duo'zhe
洛丹伦,luo'dan'lun
落日酒馆,luo'ri'jiu'guan
洛萨,luo'sa
洛萨之锋,luo'sa'zhi'feng
绿蜉蝣,lv'fu'you
绿龙,lv'long
绿幼龙,lv'you'long
麻痹陷阱,ma'bi'xian'jing
玛格娜托破坏者,ma'ge'na'tuo'po'huai'zhe
玛格娜托撕裂者,ma'ge'na'tuo'si'lie'zhe
玛格娜托战士,ma'ge'na'tuo'zhan'shi
妈奶崩,ma'nai'beng
马蹄践踏,ma'ti'jian'ta
玛维,ma'wei
蚂蚁,ma'yi
埋布地雷,mai'bu'di'lei
迈达斯之手,mai'da'si'zhi'shou
埋骨地,mai'gu'di
麦斯琪女士,mai'si'qi'nv'shi
慢性毒药,man'xing'du'yao
猫头鹰,mao'tou'ying
魅惑,mei'huo
魅惑魔女,mei'huo'mo'nv
梅肯,mei'ken
梅肯斯姆,mei'ken'si'mu
没有分,mei'you'fen
梦境缠绕,meng'jing'chan'rao
猛犸,meng'ma
猛禽德鲁伊,meng'qin'de'lu'yi
猛禽之痕,meng'qin'zhi'hen
秘法,mi'fa
秘法指环,mi'fa'zhi'huan
谜团,mi'tuan
秘银锤,mi'yin'chui
秒退,miao'tui
秒退秒射,miao'tui'miao'she
瞄准,miao'zhun
民兵,min'bing
敏刀,min'dao
敏件,min'jian
敏捷,min'jie
敏捷便鞋,min'jie'bian'xie
敏捷型,min'jie'xing
敏捷之书,min'jie'zhi'shu
敏鞋,min'xie
敏靴,min'xue
冥界亚龙,ming'jie'ya'long
命令光环,ming'ling'guang'huan
魔法,mo'fa
魔法垂饰,mo'fa'chui'shi
魔法盗取权杖,mo'fa'dao'qu'quan'zhang
魔法盾,mo'fa'dun
魔法反馈,mo'fa'fan'kui
魔法攻击,mo'fa'gong'ji
魔法护盾,mo'fa'hu'dun
魔法护盾护身符,mo'fa'hu'dun'hu'shen'fu
魔法箭,mo'fa'jian
魔法卷轴,mo'fa'juan'zhou
魔法抗性,mo'fa'kang'xing
魔法免疫,mo'fa'mian'yi
魔法破坏者,mo'fa'po'huai'zhe
魔法闪耀,mo'fa'shan'yao
魔法伤害,mo'fa'shang'hai
魔法吮吸,mo'fa'shun'xi
魔法吸收,mo'fa'xi'shou
魔法药水,mo'fa'yao'shui
魔法之泉,mo'fa'zhi'quan
魔法之石,mo'fa'zhi'shi
魔鬼缠身,mo'gui'chan'shen
魔抗,mo'kang
魔力法杖,mo'li'fa'zhang
魔龙之心,mo'long'zhi'xin
魔免,mo'mian
魔瓶,mo'ping
魔器传送门,mo'qi'chuan'song'men
魔球,mo'qiu
末日,mo'ri
末日使者,mo'ri'shi'zhe
魔王,mo'wang
魔血球,mo'xue'qiu
暮色酒馆,mu'se'jiu'guan
牧师,mu'shi
娜迦,na'jia
娜迦海妖,na'jia'hai'yao
娜迦女海巫,na'jia'nv'hai'wu
耐奥祖,nai'ao'zu
耐久光环,nai'jiu'guang'huan
奶酪,nai'lao
闹鬼金矿,nao'gui'jin'kuang
能量垂饰,neng'liang'chui'shi
能量之球,neng'liang'zhi'qiu
能量之书,neng'liang'zhi'shu
你捡,ni'jian
泥潭傀儡,ni'tan'kui'lei
粘稠鼻液,nian'chou'bi'ye
鸟德,niao'de
